"","aesthetic","aes_link","depop_results","date"
"1","'70s Disco","https://aesthetics.fandom.com/wiki/70s_Disco",2,"2023-01-14"
"2","2-Tone","https://aesthetics.fandom.com/wiki/2_Tone",318,"2023-01-14"
"3","1950's Suburbia","https://aesthetics.fandom.com/wiki/1950s_Suburbia",NA,"2023-01-14"
"4","2014 Girly Tumblr","https://aesthetics.fandom.com/wiki/2014_Girly",NA,"2023-01-14"
"5","2K Animecore","https://aesthetics.fandom.com/wiki/2K_Animecore",NA,"2023-01-14"
"6","Abstract Tech","https://aesthetics.fandom.com/wiki/Abstract_Tech",NA,"2023-01-14"
"7","Acid Pixie","https://aesthetics.fandom.com/wiki/Acid_Pixie",NA,"2023-01-14"
"8","Acidwave","https://aesthetics.fandom.com/wiki/Acidwave",3,"2023-01-14"
"9","Acubi","https://aesthetics.fandom.com/wiki/Acubi",74,"2023-01-14"
"10","Adventure Pulp","https://aesthetics.fandom.com/wiki/Adventure_Pulp",NA,"2023-01-14"
"11","Adventurecore","https://aesthetics.fandom.com/wiki/Adventurecore",40,"2023-01-14"
"12","Aetherpunk","https://aesthetics.fandom.com/wiki/Aetherpunk",NA,"2023-01-14"
"13","Afrofuturism","https://aesthetics.fandom.com/wiki/Afrofuturism",1,"2023-01-14"
"14","Afro-Victorian","https://aesthetics.fandom.com/wiki/Afro-Victorian",1,"2023-01-14"
"15","After Hours","https://aesthetics.fandom.com/wiki/After_Hours",269,"2023-01-14"
"16","Agropeople","https://aesthetics.fandom.com/wiki/Agrogirl/Agroboy",NA,"2023-01-14"
"17","Alien","https://aesthetics.fandom.com/wiki/Alien",548,"2023-01-14"
"18","Alternative","https://aesthetics.fandom.com/wiki/Alternative",8876,"2023-01-14"
"19","Americana","https://aesthetics.fandom.com/wiki/Americana",10,"2023-01-14"
"20","Analog Horror","https://aesthetics.fandom.com/wiki/Analog_Horror",NA,"2023-01-14"
"21","American Pioneers","https://aesthetics.fandom.com/wiki/American_Pioneers",NA,"2023-01-14"
"22","American Revolution","https://aesthetics.fandom.com/wiki/American_Revolution",NA,"2023-01-14"
"23","American Thanksgiving","https://aesthetics.fandom.com/wiki/American_Thanksgiving",NA,"2023-01-14"
"24","American Tourist Traps","https://aesthetics.fandom.com/wiki/American_Tourist_Traps",NA,"2023-01-14"
"25","Ancient Egypt","https://aesthetics.fandom.com/wiki/Ancient_Egypt",22,"2023-01-14"
"26","Androgynous","https://aesthetics.fandom.com/wiki/Androgynous",443,"2023-01-14"
"27","Anemoiacore","https://aesthetics.fandom.com/wiki/Anemoiacore",NA,"2023-01-14"
"28","Angelcore","https://aesthetics.fandom.com/wiki/Angelcore",1329,"2023-01-14"
"29","Anglocore","https://aesthetics.fandom.com/wiki/Anglocore",1216,"2023-01-14"
"30","Anglo Gothic","https://aesthetics.fandom.com/wiki/Anglo_Gothic",NA,"2023-01-14"
"31","Angura Kei","https://aesthetics.fandom.com/wiki/Angura_Kei",NA,"2023-01-14"
"32","Animecore","https://aesthetics.fandom.com/wiki/Animecore",NA,"2023-01-14"
"33","Antique Grunge","https://aesthetics.fandom.com/wiki/Antique_Grunge",NA,"2023-01-14"
"34","Anti-Fashion","https://aesthetics.fandom.com/wiki/Anti-Fashion",31,"2023-01-14"
"35","Arcade","https://aesthetics.fandom.com/wiki/Arcade",NA,"2023-01-14"
"36","Arcadecore","https://aesthetics.fandom.com/wiki/Arcadecore",NA,"2023-01-14"
"37","Art Academia","https://aesthetics.fandom.com/wiki/Art_Academia",NA,"2023-01-14"
"38","Arts and Crafts Movement","https://aesthetics.fandom.com/wiki/Arts_and_Crafts_Movement",NA,"2023-01-14"
"39","Art Deco","https://aesthetics.fandom.com/wiki/Art_Deco",NA,"2023-01-14"
"40","Art Hoe","https://aesthetics.fandom.com/wiki/Art_Hoe",NA,"2023-01-14"
"41","Art Nouveau","https://aesthetics.fandom.com/wiki/Art_Nouveau",NA,"2023-01-14"
"42","Asian Baby Girl","https://aesthetics.fandom.com/wiki/Asian_Baby_Girl",NA,"2023-01-14"
"43","Athlete","https://aesthetics.fandom.com/wiki/Athlete",278,"2023-01-14"
"44","Atompunk","https://aesthetics.fandom.com/wiki/Atompunk",1,"2023-01-14"
"45","Auroracore","https://aesthetics.fandom.com/wiki/Auroracore",4,"2023-01-14"
"46","Autumn Academia","https://aesthetics.fandom.com/wiki/Autumn_Academia",NA,"2023-01-14"
"47","Autumn","https://aesthetics.fandom.com/wiki/Autumn",2,"2023-01-14"
"48","Avant Apocalypse","https://aesthetics.fandom.com/wiki/Avant_Apocalypse",NA,"2023-01-14"
"49","Avant-garde","https://aesthetics.fandom.com/wiki/Avant-garde",1646,"2023-01-14"
"50","Babycore","https://aesthetics.fandom.com/wiki/Babycore",165,"2023-01-14"
"51","Babygirl","https://aesthetics.fandom.com/wiki/Babygirl",4139,"2023-01-14"
"52","Back-to-School","https://aesthetics.fandom.com/wiki/Back-to-School",929,"2023-01-14"
"53","Baddie","https://aesthetics.fandom.com/wiki/Baddie",4695,"2023-01-14"
"54","Ballet Academia","https://aesthetics.fandom.com/wiki/Ballet_Academia",NA,"2023-01-14"
"55","Baltic Violence Tumblr","https://aesthetics.fandom.com/wiki/Baltic_Violence_Tumblr",NA,"2023-01-14"
"56","Barbiecore","https://aesthetics.fandom.com/wiki/Barbiecore",261,"2023-01-14"
"57","Bardcore","https://aesthetics.fandom.com/wiki/Bardcore",1,"2023-01-14"
"58","Baroque","https://aesthetics.fandom.com/wiki/Baroque",300,"2023-01-14"
"59","Bastardcore","https://aesthetics.fandom.com/wiki/Bastardcore",1,"2023-01-14"
"60","Bauhaus","https://aesthetics.fandom.com/wiki/Bauhaus",7,"2023-01-14"
"61","BDSM","https://aesthetics.fandom.com/wiki/BDSM",76,"2023-01-14"
"62","Beach Bunny","https://aesthetics.fandom.com/wiki/Beach_Bunny",NA,"2023-01-14"
"63","Beach Day","https://aesthetics.fandom.com/wiki/Beach_Day",NA,"2023-01-14"
"64","Beatnik","https://aesthetics.fandom.com/wiki/Beatnik",24,"2023-01-14"
"65","Biker","https://aesthetics.fandom.com/wiki/Biker",2029,"2023-01-14"
"66","Bimbocore","https://aesthetics.fandom.com/wiki/Bimbocore",180,"2023-01-14"
"67","Biohazard","https://aesthetics.fandom.com/wiki/Biohazard",7,"2023-01-14"
"68","Biopunk","https://aesthetics.fandom.com/wiki/Biopunk",115,"2023-01-14"
