"","aesthetic","depop_results","date"
"1","Random Article",NA,"2024-02-15"
"2","By Category",NA,"2024-02-15"
"3","Index of Nation-Based Aesthetics",NA,"2024-02-15"
"4","Index of Music-Based Aesthetics",NA,"2024-02-15"
"5","Index of Nature-Based Aesthetics",NA,"2024-02-15"
"6","List of Deleted Pages and Why",NA,"2024-02-15"
"7","Pages We Need",NA,"2024-02-15"
"8","2010s Internet",NA,"2024-02-15"
"9","2014 Girly",NA,"2024-02-15"
"10","2014 Tumblr",NA,"2024-02-15"
"11","2020s E-Kid",NA,"2024-02-15"
"12","2K1",NA,"2024-02-15"
"13","2K5",NA,"2024-02-15"
"14","2K7",NA,"2024-02-15"
"15","2 Tone",NA,"2024-02-15"
"16","50s Suburbia",NA,"2024-02-15"
"17","7 HD",NA,"2024-02-15"
"18","80s Heartthrob",NA,"2024-02-15"
"19","80 Thousand",NA,"2024-02-15"
"20","Abstract Tech",NA,"2024-02-15"
"21","Acid Design",NA,"2024-02-15"
"22","Acid Pixie",NA,"2024-02-15"
"23","Acidwave",NA,"2024-02-15"
"24","Adventurecore",NA,"2024-02-15"
"25","Adventure Pulp",NA,"2024-02-15"
"26","Aeropittura",NA,"2024-02-15"
"27","Aestheticism",NA,"2024-02-15"
"28","Aetherpunk",NA,"2024-02-15"
"29","Afrofuturism",NA,"2024-02-15"
"30","Afropunk",NA,"2024-02-15"
"31","Afro-Victorian",NA,"2024-02-15"
"32","After Hours",NA,"2024-02-15"
"33","Agropeople",NA,"2024-02-15"
"34","Ah Beng",NA,"2024-02-15"
"35","Alien",NA,"2024-02-15"
"36","Alternative",NA,"2024-02-15"
"37","Amateur Photography",NA,"2024-02-15"
"38","Americana",NA,"2024-02-15"
"39","American Gothic",NA,"2024-02-15"
"40","American Kitsch",NA,"2024-02-15"
"41","American Pioneers",NA,"2024-02-15"
"42","American Revolution",NA,"2024-02-15"
"43","American Thanksgiving",NA,"2024-02-15"
"44","American Tourist Traps",NA,"2024-02-15"
"45","Analog Horror",NA,"2024-02-15"
"46","Ancient Egypt",NA,"2024-02-15"
"47","Ancient Y2K",NA,"2024-02-15"
"48","Androgynous",NA,"2024-02-15"
"49","Angelcore",NA,"2024-02-15"
"50","Anglocore",NA,"2024-02-15"
"51","Anglo Gothic",NA,"2024-02-15"
"52","Angura",NA,"2024-02-15"
"53","Animecore",NA,"2024-02-15"
"54","Anime New Moon",NA,"2024-02-15"
"55","Anti-Fashion",NA,"2024-02-15"
"56","Antique Grunge",NA,"2024-02-15"
"57","Arabfunny",NA,"2024-02-15"
"58","Arabian Nights",NA,"2024-02-15"
"59","Arcade",NA,"2024-02-15"
"60","Arcadecore",NA,"2024-02-15"
"61","Aristocrat",NA,"2024-02-15"
"62","Art Academia",NA,"2024-02-15"
"63","Artcore",NA,"2024-02-15"
"64","Art Deco",NA,"2024-02-15"
"65","Art Hoe",NA,"2024-02-15"
"66","Artificial Nature",NA,"2024-02-15"
"67","Art Nouveau",NA,"2024-02-15"
"68","Arts and Crafts Movement",NA,"2024-02-15"
"69","Asian Baby Girl",NA,"2024-02-15"
"70","Athlete",NA,"2024-02-15"
"71","Atompunk",NA,"2024-02-15"
"72","Auroracore",NA,"2024-02-15"
"73","Australiana",NA,"2024-02-15"
"74","Australian Outback",NA,"2024-02-15"
"75","Autumn",NA,"2024-02-15"
"76","Autumn Academia",NA,"2024-02-15"
"77","Avant Apocalypse",NA,"2024-02-15"
"78","Avant-garde",NA,"2024-02-15"
"79","Babycore",NA,"2024-02-15"
"80","Babygirl",NA,"2024-02-15"
"81","Back-to-School",NA,"2024-02-15"
"82","Baddie",NA,"2024-02-15"
"83","Bakala",NA,"2024-02-15"
"84","Balkan Violence Tumblr",NA,"2024-02-15"
"85","Ballet Academia",NA,"2024-02-15"
"86","Balletcore",NA,"2024-02-15"
"87","Bankara",NA,"2024-02-15"
"88","Barbiecore",NA,"2024-02-15"
"89","Bardcore",NA,"2024-02-15"
"90","Baroque",NA,"2024-02-15"
"91","Basic Girl",NA,"2024-02-15"
"92","Basque Radical Rock",NA,"2024-02-15"
"93","Bastardcore",NA,"2024-02-15"
"94","Bauhaus",NA,"2024-02-15"
"95","BDSM",NA,"2024-02-15"
"96","Beach Bunny",NA,"2024-02-15"
"97","Beach Day",NA,"2024-02-15"
"98","Beach Girl",NA,"2024-02-15"
"99","Beatnik",NA,"2024-02-15"
"100","Belgian New Beat",NA,"2024-02-15"
"101","Biker",NA,"2024-02-15"
"102","Bimbocore",NA,"2024-02-15"
"103","Biopunk",NA,"2024-02-15"
"104","Bizarro Fiction",NA,"2024-02-15"
"105","Black-Holed Meme",NA,"2024-02-15"
"106","Black Metal",NA,"2024-02-15"
"107","Bleak Crush",NA,"2024-02-15"
"108","Blingeecore",NA,"2024-02-15"
"109","Blokecore",NA,"2024-02-15"
"110","Blokette",NA,"2024-02-15"
"111","Bloomcore",NA,"2024-02-15"
"112","Blue Night",NA,"2024-02-15"
"113","B-Movie Horror",NA,"2024-02-15"
"114","Bodikon",NA,"2024-02-15"
"115","Bohemian",NA,"2024-02-15"
"116","Bombardier",NA,"2024-02-15"
"117","Bookstore Girl",NA,"2024-02-15"
"118","Bosozoku",NA,"2024-02-15"
"119","Boujee",NA,"2024-02-15"
"120","Boy Next Door",NA,"2024-02-15"
"121","BrazilianPopBar",NA,"2024-02-15"
"122","Breakcore",NA,"2024-02-15"
"123","Bright Tertiaries",NA,"2024-02-15"
"124","Britpop",NA,"2024-02-15"
"125","Bro",NA,"2024-02-15"
"126","Bronzepunk",NA,"2024-02-15"
"127","Brutal Industrial",NA,"2024-02-15"
"128","Bubble Bujo",NA,"2024-02-15"
"129","Bubbleglam",NA,"2024-02-15"
"130","Bubble Goth",NA,"2024-02-15"
"131","Bubblegum Bitch",NA,"2024-02-15"
"132","Bubblegum Coquette",NA,"2024-02-15"
"133","Bubblegum Dance",NA,"2024-02-15"
"134","Bubblegum Witch",NA,"2024-02-15"
"135","Buckle Bunny",NA,"2024-02-15"
"136","Burlesque",NA,"2024-02-15"
"137","Busukawaii",NA,"2024-02-15"
"138","Cabincore",NA,"2024-02-15"
"139","Cagole",NA,"2024-02-15"
"140","Camp",NA,"2024-02-15"
"141","Campcore",NA,"2024-02-15"
"142","Candyland",NA,"2024-02-15"
"143","Cani",NA,"2024-02-15"
"144","Captchacore",NA,"2024-02-15"
"145","Caricaturism",NA,"2024-02-15"
"146","Carnivalcore",NA,"2024-02-15"
"147","Cartelcore",NA,"2024-02-15"
"148","Cartooncore",NA,"2024-02-15"
"149","Casino",NA,"2024-02-15"
"150","Cassette Futurism",NA,"2024-02-15"
"151","Catholic Horror",NA,"2024-02-15"
"152","Cayetana",NA,"2024-02-15"
"153","Changelingcore",NA,"2024-02-15"
"154","Chaotic Academia",NA,"2024-02-15"
"155","Chav",NA,"2024-02-15"
"156","Cheiron Crush",NA,"2024-02-15"
"157","Cherry Emoji Twitter",NA,"2024-02-15"
"158","Chicano Lowrider",NA,"2024-02-15"
"159","Chicha",NA,"2024-02-15"
"160","Chic Modernist",NA,"2024-02-15"
"161","Chinese New Year",NA,"2024-02-15"
"162","Choco Girl",NA,"2024-02-15"
"163","Cholo",NA,"2024-02-15"
"164","Chonga",NA,"2024-02-15"
"165","Choni",NA,"2024-02-15"
"166","Christian Girl Autumn",NA,"2024-02-15"
"167","Christian Hardcore",NA,"2024-02-15"
"168","Christmas",NA,"2024-02-15"
"169","Chromecore",NA,"2024-02-15"
"170","Chunyu",NA,"2024-02-15"
"171","Cinnamon Girl",NA,"2024-02-15"
"172","City Pop",NA,"2024-02-15"
"173","Classic Academia",NA,"2024-02-15"
"174","Classicism",NA,"2024-02-15"
"175","Classic Lolita",NA,"2024-02-15"
"176","Cleancore",NA,"2024-02-15"
"177","Clean Girl",NA,"2024-02-15"
"178","Clockpunk",NA,"2024-02-15"
"179","Clowncore",NA,"2024-02-15"
"180","Club",NA,"2024-02-15"
"181","Club Kids",NA,"2024-02-15"
"182","Cluttercore",NA,"2024-02-15"
"183","Coastal Cowgirl",NA,"2024-02-15"
"184","Coastal Grandmother",NA,"2024-02-15"
"185","Cobsoncore",NA,"2024-02-15"
"186","Coffee House/Cafe",NA,"2024-02-15"
"187","Coffinwood",NA,"2024-02-15"
"188","Comfy/Cozy",NA,"2024-02-15"
"189","Color Pop",NA,"2024-02-15"
"190","Constructivism",NA,"2024-02-15"
"191","Corporate",NA,"2024-02-15"
"192","Corporate Grunge",NA,"2024-02-15"
"193","Corporate Memphis",NA,"2024-02-15"
"194","Corporate Punk",NA,"2024-02-15"
"195","Cottagecore",NA,"2024-02-15"
"196","Cottagegore",NA,"2024-02-15"
"197","Coquette",NA,"2024-02-15"
"198","Coquette Academia",NA,"2024-02-15"
"199","Corporate Hippie",NA,"2024-02-15"
"200","Country",NA,"2024-02-15"
"201","Cozy Childhood Hideaway",NA,"2024-02-15"
"202","C-Pop",NA,"2024-02-15"
"203","Crackhead",NA,"2024-02-15"
"204","Craftcore",NA,"2024-02-15"
"205","Cripplepunk",NA,"2024-02-15"
"206","Crowcore",NA,"2024-02-15"
"207","Crustpunk",NA,"2024-02-15"
"208","Cryptid Academia",NA,"2024-02-15"
"209","Cryptidcore",NA,"2024-02-15"
"210","Cubism",NA,"2024-02-15"
"211","Cuddle Party",NA,"2024-02-15"
"212","Cultcore",NA,"2024-02-15"
"213","Cult Party Kei",NA,"2024-02-15"
"214","Cutecore",NA,"2024-02-15"
"215","Cybercore",NA,"2024-02-15"
"216","Cyberdelic",NA,"2024-02-15"
"217","Cyberfunk",NA,"2024-02-15"
"218","Cyberghetto",NA,"2024-02-15"
"219","Cyber Grunge",NA,"2024-02-15"
"220","Cyber Glacier",NA,"2024-02-15"
"221","Cybergoth",NA,"2024-02-15"
"222","Cybergrunge",NA,"2024-02-15"
"223","Cyberneticpunk",NA,"2024-02-15"
"224","Cyberparadism",NA,"2024-02-15"
"225","Cyberpop",NA,"2024-02-15"
"226","Cyberprep",NA,"2024-02-15"
"227","Cyberpunk",NA,"2024-02-15"
"228","Cyberspace Webrooms",NA,"2024-02-15"
"229","Cyber Stylin",NA,"2024-02-15"
"230","Cybervillain",NA,"2024-02-15"
"231","Dandy",NA,"2024-02-15"
"232","Danish Pastel",NA,"2024-02-15"
"233","Dank Meme Voyage",NA,"2024-02-15"
"234","Dark Academia",NA,"2024-02-15"
"235","Dark Aero",NA,"2024-02-15"
"236","Darkcore",NA,"2024-02-15"
"237","DarkErrorcore",NA,"2024-02-15"
"238","Darkest Academia",NA,"2024-02-15"
"239","Dark Fantasy",NA,"2024-02-15"
"240","Dark Gatsby",NA,"2024-02-15"
"241","Dark Naturalism",NA,"2024-02-15"
"242","Dark Nautical",NA,"2024-02-15"
"243","Dark Nymphet",NA,"2024-02-15"
"244","Dark Paradise",NA,"2024-02-15"
"245","Dark Royaltycore",NA,"2024-02-15"
"246","Dark Y2K",NA,"2024-02-15"
"247","Dau al Set",NA,"2024-02-15"
"248","Daydreampunk",NA,"2024-02-15"
"249","Dazecore",NA,"2024-02-15"
"250","Dead Inside",NA,"2024-02-15"
"251","Deathcore",NA,"2024-02-15"
"252","Death Metal",NA,"2024-02-15"
"253","Deathrock",NA,"2024-02-15"
"254","Decopunk",NA,"2024-02-15"
"255","Decora",NA,"2024-02-15"
"256","Deep Fried Meme",NA,"2024-02-15"
