"aesthetic","aes_link"
"70s Disco","https://aesthetics.fandom.com/wiki/70s_Disco"
"2-Tone","https://aesthetics.fandom.com/wiki/2_Tone"
"1950s Suburbia","https://aesthetics.fandom.com/wiki/1950s_Suburbia"
"2000s Autumn","https://aesthetics.fandom.com/wiki/2000%27s_Autumn"
"2014-era tumblr","https://aesthetics.fandom.com/wiki/2014-era_tumblr"
"2014 Girly Tumblr","https://aesthetics.fandom.com/wiki/2014_Girly"
"2020 Alt","https://aesthetics.fandom.com/wiki/2020_Alt"
"2K Animecore","https://aesthetics.fandom.com/wiki/2K_Animecore"
"2K7","https://aesthetics.fandom.com/wiki/2K7"
"2K1","https://aesthetics.fandom.com/wiki/2K1"
"Abstract Tech","https://aesthetics.fandom.com/wiki/Abstract_Tech"
"Acid Pixie","https://aesthetics.fandom.com/wiki/Acid_Pixie"
"Acidwave","https://aesthetics.fandom.com/wiki/Acidwave"
"Acubi","https://aesthetics.fandom.com/wiki/Acubi"
"Adventure Pulp","https://aesthetics.fandom.com/wiki/Adventure_Pulp"
"Adventurecore","https://aesthetics.fandom.com/wiki/Adventurecore"
"Aetherpunk","https://aesthetics.fandom.com/wiki/Aetherpunk"
"Afrofuturism","https://aesthetics.fandom.com/wiki/Afrofuturism"
"Afro-Victorian","https://aesthetics.fandom.com/wiki/Afro-Victorian"
"After Hours","https://aesthetics.fandom.com/wiki/After_Hours"
"Agropeople","https://aesthetics.fandom.com/wiki/Agropeople"
"Ah Beng","https://aesthetics.fandom.com/wiki/Ah_Beng"
"Alien","https://aesthetics.fandom.com/wiki/Alien"
"Alternative","https://aesthetics.fandom.com/wiki/Alternative"
"Americana","https://aesthetics.fandom.com/wiki/Americana"
"Analog Horror","https://aesthetics.fandom.com/wiki/Analog_Horror"
"American Pioneers","https://aesthetics.fandom.com/wiki/American_Pioneers"
"American Revolution","https://aesthetics.fandom.com/wiki/American_Revolution"
"American Thanksgiving","https://aesthetics.fandom.com/wiki/American_Thanksgiving"
"American Tourist Traps","https://aesthetics.fandom.com/wiki/American_Tourist_Traps"
"Ancient Egypt","https://aesthetics.fandom.com/wiki/Ancient_Egypt"
"Androgynous","https://aesthetics.fandom.com/wiki/Androgynous"
"Anemoiacore","https://aesthetics.fandom.com/wiki/Anemoiacore"
"Angelcore","https://aesthetics.fandom.com/wiki/Angelcore"
"Anglocore","https://aesthetics.fandom.com/wiki/Anglocore"
"Anglo Gothic","https://aesthetics.fandom.com/wiki/Anglo_Gothic"
"Angura","https://aesthetics.fandom.com/wiki/Angura"
"Animecore","https://aesthetics.fandom.com/wiki/Animecore"
"Antique Grunge","https://aesthetics.fandom.com/wiki/Antique_Grunge"
"Anti-Fashion","https://aesthetics.fandom.com/wiki/Anti-Fashion"
"Arcade","https://aesthetics.fandom.com/wiki/Arcade"
"Arcadecore","https://aesthetics.fandom.com/wiki/Arcadecore"
"Art Academia","https://aesthetics.fandom.com/wiki/Art_Academia"
"Arts and Crafts Movement","https://aesthetics.fandom.com/wiki/Arts_and_Crafts_Movement"
"Art Deco","https://aesthetics.fandom.com/wiki/Art_Deco"
"Art Hoe","https://aesthetics.fandom.com/wiki/Art_Hoe"
"Art Nouveau","https://aesthetics.fandom.com/wiki/Art_Nouveau"
"Asian Baby Girl","https://aesthetics.fandom.com/wiki/Asian_Baby_Girl"
"Athlete","https://aesthetics.fandom.com/wiki/Athlete"
"Atompunk","https://aesthetics.fandom.com/wiki/Atompunk"
"Auroracore","https://aesthetics.fandom.com/wiki/Auroracore"
"Australiana","https://aesthetics.fandom.com/wiki/Australiana"
"Australian Outback","https://aesthetics.fandom.com/wiki/Australian_Outback"
"Autumn Academia","https://aesthetics.fandom.com/wiki/Autumn_Academia"
"Autumn","https://aesthetics.fandom.com/wiki/Autumn"
"Avant Apocalypse","https://aesthetics.fandom.com/wiki/Avant_Apocalypse"
"Avant-garde","https://aesthetics.fandom.com/wiki/Avant-garde"
"Babycore","https://aesthetics.fandom.com/wiki/Babycore"
"Babygirl","https://aesthetics.fandom.com/wiki/Babygirl"
"Back-to-School","https://aesthetics.fandom.com/wiki/Back-to-School"
"Baddie","https://aesthetics.fandom.com/wiki/Baddie"
"Ballet Academia","https://aesthetics.fandom.com/wiki/Ballet_Academia"
"Balletcore","https://aesthetics.fandom.com/wiki/Balletcore"
"Baltic Violence Tumblr","https://aesthetics.fandom.com/wiki/Baltic_Violence_Tumblr"
"Barbiecore","https://aesthetics.fandom.com/wiki/Barbiecore"
"Bardcore","https://aesthetics.fandom.com/wiki/Bardcore"
"Baroque","https://aesthetics.fandom.com/wiki/Baroque"
"Bastardcore","https://aesthetics.fandom.com/wiki/Bastardcore"
"Bauhaus","https://aesthetics.fandom.com/wiki/Bauhaus"
"BDSM","https://aesthetics.fandom.com/wiki/BDSM"
"Beach Bunny","https://aesthetics.fandom.com/wiki/Beach_Bunny"
"Beach Day","https://aesthetics.fandom.com/wiki/Beach_Day"
"Beatnik","https://aesthetics.fandom.com/wiki/Beatnik"
"Biker","https://aesthetics.fandom.com/wiki/Biker"
"Bimbocore","https://aesthetics.fandom.com/wiki/Bimbocore"
"Biopunk","https://aesthetics.fandom.com/wiki/Biopunk"
"Bizarro Fiction","https://aesthetics.fandom.com/wiki/Bizarro_Fiction"
"Black-Holed Meme","https://aesthetics.fandom.com/wiki/Black-Holed_Meme"
"Bloomcore","https://aesthetics.fandom.com/wiki/Bloomcore"
