"aesthetic","max_date","col_group"
"Y2K",77854,"mid"
"Summer",26397,"mid"
"Cottagecore",23737,"pos"
"Cottagegore",18306,"mid"
"Hippie",18293,"mid"
"E-Girl",18076,"neg"
"Skater",15531,"mid"
"Fairycore",13049,"pos"
"Minimalism",11498,"pos"
"Spring",9667,"mid"
"Alternative",8941,"mid"
"Bohemian",7871,"pos"
"Kidcore",7522,"pos"
"Lounge",5162,"pos"
"E-Boy",4763,"neg"
"Baddie",4676,"neg"
"Pearly",4331,"mid"
"Hipster",4024,"neg"
"Babygirl",3963,"neg"
"Western",3787,"pos"
"Halloween",3726,"neg"
"Decora",3435,"neg"
"Christmas",2912,"neg"
"Dollette",2786,NA
"Stoner",2479,"neg"
"Whimsigothic",2451,NA
"Playboy",2442,"mid"
"Mallgoth",2363,"pos"
"Biker",2113,"pos"
"Vampire",2059,"pos"
"Dreamy",2014,"pos"
"Regency",1799,"pos"
"Avant-garde",1733,"pos"
"Goblincore",1724,"pos"
"Psychedelica",1641,"mid"
"Mermaid",1605,"pos"
"Balletcore",1588,NA
"Scoutcore",1503,"pos"
"Angelcore",1475,"pos"
"Peach",1467,"neg"
"Maximalism",1401,"pos"
"Anglocore",1332,"pos"
"Gorpcore",1189,"pos"
"Gorecore",1184,"pos"
"Comfy/Cozy",1134,"neg"
"Country",965,"pos"
"Hip-Hop",956,"mid"
"Lovecore",946,"pos"
"Teddies",933,"mid"
"Pin-up",908,"pos"
"Princesscore",862,"pos"
"Back-to-School",855,"neg"
"Pride flags",847,"neg"
"Medieval",839,"pos"
"Princecore",818,"pos"
"Tropical",813,"mid"
"Earthcore",792,"pos"
"Winter",754,"pos"
"Kinderwhore",747,"pos"
"VSCO",745,"neg"
"McBling",740,"pos"
"Softie",734,"mid"
"Cyberpunk",703,"pos"
"Post-Punk",695,"pos"
"Steampunk",629,"pos"
"Royalcore",607,"pos"
"Steelpunk",597,"pos"
"Vaporwave",560,"neg"
"Cybergoth",554,"pos"
"Gyaru",546,"pos"
"Milk",527,"pos"
"Diner",517,"neg"
"Thrasher",513,"neg"
"Weirdcore",513,"pos"
"Tomboy",508,"mid"
"Dullcore",497,"pos"
"Alien",479,"neg"
"Androgynous",415,"pos"
"Drain",387,"neg"
"Sanriocore",374,"neg"
"Clowncore",340,"mid"
"2-Tone",333,"pos"
"Furry",324,"pos"
"Celtic",319,"pos"
"Boujee",315,"neg"
"Cybergrunge",314,"mid"
"Barbiecore",309,"pos"
"Baroque",309,"pos"
"Cutecore",304,"pos"
"Rockabilly",303,"neg"
"Cleancore",298,"neg"
"Gothcore",276,"mid"
"Athlete",272,"pos"
"Techwear",268,"mid"
"Scrapbook",264,"neg"
"After Hours",256,"neg"
"Naturecore",246,"mid"
"Otaku",243,"neg"
"Nymphet",241,"pos"
"Coastal Grandmother",231,"neg"
"Magical Girls",219,"pos"
"Bimbocore",217,"pos"
"Post-rock",212,"pos"
"Lo-Fi",210,"mid"
"Waldorf",207,"pos"
"Babycore",202,"pos"
"Gamine",184,"pos"
"Plant Mom",170,"neg"
"Wonderland",166,"pos"
"Witchcore",155,"neg"
"Jersey Shore",154,"pos"
"Neko",154,"pos"
"Lagenlook",152,"pos"
"Pirate",147,"neg"
"Cabincore",144,"neg"
"Coquette",139,"pos"
"Bombacore",130,"pos"
"Normcore",128,"neg"
"Biopunk",128,"pos"
"Delicate Sweet",126,"neg"
"Acubi",120,"pos"
"Raver",120,"neg"
"XO",120,"neg"
"Trashy Raver",120,NA
"Pixel Cutie",111,"pos"
"Post-Apocalyptic",111,"pos"
"Equestrian",108,"pos"
"Nostalgiacore",105,"mid"
"Prairiecore",103,"pos"
"Crackhead",100,"pos"
"Femme Fatale",100,"pos"
"Honeycore",100,"neg"
"Rococo",93,"pos"
"Mushroomcore",92,"pos"
"Surrealism",91,"neg"
"Nu-Goth",89,"mid"
"Modernism",87,"pos"
"Otherkin",84,"pos"
"Wanderlust",82,"pos"
"Australiana",81,NA
"Geek",76,"neg"
"BDSM",74,"mid"
"Funky Seasons",72,"neg"
"Trenchcore",71,"pos"
"Cyberghetto",68,"mid"
"Bloomcore",65,"neg"
"Dreamcore",63,"neg"
"Britpop",62,"neg"
"Girl-Next-Door",62,"pos"
"Purism",62,"neg"
"Romanticism",58,"pos"
"Seapunk",54,"pos"
"Flapper",53,"pos"
"Pixiecore",53,"pos"
"Deathcore",53,"neg"
"Forestpunk",53,"pos"
"Greaser",52,"neg"
"Printcore",51,"neg"
"Rainbowcore",51,"neg"
"Long Island",50,"pos"
"Thriftcore",50,"pos"
"Wetcore",50,"pos"
"Tacticool",48,"pos"
"Angura",48,NA
"R&B",47,"neg"
"Shoegaze",46,"neg"
"Viking",46,"pos"
"Nautical",45,"pos"
"Hyperpop",44,"pos"
"Casino",43,"pos"
"VSCO Preppy",42,"mid"
