"aesthetic","day_diff_med","aes_wiki_link","rank","main_img"
"Steampunk",0.0531177363662013,"https://aesthetics.fandom.com/wiki/Steampunk",1,"https://static.wikia.nocookie.net/aesthetics/images/9/94/Steampunk-coffee-machine.jpg"
"Nymphet",0.0170795795795796,"https://aesthetics.fandom.com/wiki/Nymphet",2,"https://static.wikia.nocookie.net/aesthetics/images/b/b1/4d6189320e5ed1406ef76e68d28d3a880ecca059.jpg"
"Steelpunk",0.0152903903496883,"https://aesthetics.fandom.com/wiki/Steelpunk",3,"https://static.wikia.nocookie.net/aesthetics/images/b/b0/Steelpunk1.png"
"Gorecore",0.0115668923288501,"https://aesthetics.fandom.com/wiki/Gorecore",4,"https://static.wikia.nocookie.net/aesthetics/images/9/98/E1D6035A-3F06-4035-8117-D2398F3451C4.png"
"Gorpcore",0.0115520282186949,"https://aesthetics.fandom.com/wiki/Gorpcore",5,"https://www.dontcrampmystyle.co.uk/wp-content/uploads/2014/05/Light_Pastel_Purple_429585_i0-1.png"
"Cabincore",0.00934009753028158,"https://aesthetics.fandom.com/wiki/Cabincore",6,"https://static.wikia.nocookie.net/aesthetics/images/7/7a/Cabin.jpg"
"Earthcore",0.00899664989613477,"https://aesthetics.fandom.com/wiki/Earthcore",7,"https://static.wikia.nocookie.net/aesthetics/images/2/25/Granola_Girl.jpg"
"Furry",0.00852681680984444,"https://aesthetics.fandom.com/wiki/Furry",8,"https://static.wikia.nocookie.net/aesthetics/images/c/c5/Img.jpeg"
"Gyaru",0.0083258865325516,"https://aesthetics.fandom.com/wiki/Gyaru",9,"https://static.wikia.nocookie.net/aesthetics/images/e/ee/289fa5d72e1643084a2c801aa521a107d5d2d210_imgf681ea33zik8zj.jpg"
"Barbiecore",0.00816455485716186,"https://aesthetics.fandom.com/wiki/Barbiecore",10,"https://static.wikia.nocookie.net/aesthetics/images/6/60/Jewel_girl_barbie.jpg"
"Wonderland",0.00754727728411939,"https://aesthetics.fandom.com/wiki/Wonderland",11,"https://static.wikia.nocookie.net/aesthetics/images/4/49/Alice_in_Wonderland.png"
"Vampire",0.00738770685579196,"https://aesthetics.fandom.com/wiki/Vampire",12,"https://static.wikia.nocookie.net/aesthetics/images/0/0f/Vampire.jpeg"
"Clowncore",0.00733163274159682,"https://aesthetics.fandom.com/wiki/Clowncore",13,"https://static.wikia.nocookie.net/aesthetics/images/2/2b/Unnamed_%285%29.jpg"
"E-Boy",0.0072391691183409,"https://aesthetics.fandom.com/wiki/E-Boy",14,"https://static.wikia.nocookie.net/aesthetics/images/1/1a/Maxresdefault-1.jpg"
"Baddie",0.00702987381701444,"https://aesthetics.fandom.com/wiki/Baddie",15,"https://static.wikia.nocookie.net/aesthetics/images/1/17/Baddie.jpg"
"Cloudcore",0.00692642252979623,"https://aesthetics.fandom.com/wiki/Cloudcore",16,"https://www.dontcrampmystyle.co.uk/wp-content/uploads/2014/05/Light_Pastel_Purple_429585_i0-1.png"
"Medieval",0.00681722323082283,"https://aesthetics.fandom.com/wiki/Medieval",17,"https://static.wikia.nocookie.net/aesthetics/images/b/be/The_Lady_and_the_unicorn_Desire.jpg"
"Raver",0.00658791325781813,"https://aesthetics.fandom.com/wiki/Raver",18,"https://static.wikia.nocookie.net/aesthetics/images/3/33/Latest.jpeg"
"Cleancore",0.00651054532678985,"https://aesthetics.fandom.com/wiki/Cleancore",19,"https://static.wikia.nocookie.net/aesthetics/images/7/7f/High_cleancore.jpg"
"Dullcore",0.0063700082160934,"https://aesthetics.fandom.com/wiki/Dullcore",20,"https://static.wikia.nocookie.net/aesthetics/images/d/dc/21FDEB9E-1E65-4C4E-88AF-AF4889A7DF8E.jpg"
"Princesscore",0.00627835411313093,"https://aesthetics.fandom.com/wiki/Princesscore",21,"https://static.wikia.nocookie.net/aesthetics/images/4/4d/Tumblr_8681320074d90947b55b04ca2222d020_459fae47_640.jpg"
"Normcore",0.00617283950617284,"https://aesthetics.fandom.com/wiki/Normcore",22,"https://static.wikia.nocookie.net/aesthetics/images/b/b3/03zNORMCORE1-master675.jpg"
"Alien",0.00597400563733166,"https://aesthetics.fandom.com/wiki/Alien",23,"https://static.wikia.nocookie.net/aesthetics/images/4/48/Image_%284%29.png"
"Drain",0.00595818499285698,"https://aesthetics.fandom.com/wiki/Drain",24,"https://static.wikia.nocookie.net/aesthetics/images/d/d7/E_ecco2k.webp"
"Maximalism",0.00590637546688482,"https://aesthetics.fandom.com/wiki/Maximalism",25,"https://static.wikia.nocookie.net/aesthetics/images/1/14/Max1.jpg"
"Waldorf",0.00586515307877537,"https://aesthetics.fandom.com/wiki/Waldorf",26,"https://www.dontcrampmystyle.co.uk/wp-content/uploads/2014/05/Light_Pastel_Purple_429585_i0-1.png"
"Witchcore",0.00576373662879543,"https://aesthetics.fandom.com/wiki/Witchcore",27,"https://static.wikia.nocookie.net/aesthetics/images/a/ab/Witchcore-Herbs_Plants_and_Jars.jpg"
"Boujee",0.00571021571021571,"https://aesthetics.fandom.com/wiki/Boujee",28,"https://static.wikia.nocookie.net/aesthetics/images/8/81/Boujee.jpg"
"Tropical",0.00562891113892365,"https://aesthetics.fandom.com/wiki/Tropical",29,"https://static.wikia.nocookie.net/aesthetics/images/2/2d/Wp1895640.png"
"Goblincore",0.00558934251463779,"https://aesthetics.fandom.com/wiki/Goblincore",30,"https://static.wikia.nocookie.net/aesthetics/images/0/03/Images-3.jpg"
"Halloween",0.00557603819223948,"https://aesthetics.fandom.com/wiki/Halloween",31,"https://static.wikia.nocookie.net/aesthetics/images/3/3e/Original_d1a6a100-9f57-436f-8655-1865368290d2_IMG_20221008_190306909_%282%29.jpg"
"Babycore",0.00524966931216931,"https://aesthetics.fandom.com/wiki/Babycore",32,"https://static.wikia.nocookie.net/aesthetics/images/d/d6/Babycore.cover.jpeg"
"Lovecore",0.00516442261642651,"https://aesthetics.fandom.com/wiki/Lovecore",33,"https://static.wikia.nocookie.net/aesthetics/images/4/40/Lovecore.jpg"
"Babygirl",0.00510642417949942,"https://aesthetics.fandom.com/wiki/Babygirl",34,"https://static.wikia.nocookie.net/aesthetics/images/5/5f/Babygirl.jpg"
"Pride flags",0.00510276308508037,"https://aesthetics.fandom.com/wiki/Pride_flags",35,"https://static.wikia.nocookie.net/aesthetics/images/1/1e/Rainbow.png"
"Classicism",0.00479619065145381,"https://aesthetics.fandom.com/wiki/Classicism",36,"https://static.wikia.nocookie.net/aesthetics/images/d/d3/340px-Rome_Fontana_dei_Quattro_Fiumi_01.jpg"
"Post-Punk",0.00472815881248323,"https://aesthetics.fandom.com/wiki/Post-Punk",37,"https://static.wikia.nocookie.net/aesthetics/images/2/24/Unknown%2Bpleasures.png"
