"aesthetic","day_diff_med","aes_wiki_link","rank","main_img"
"Steelpunk",0.080160874625873,"https://aesthetics.fandom.com/wiki/Steelpunk",1,"https://static.wikia.nocookie.net/aesthetics/images/b/b0/Steelpunk1.png"
"Princesscore",0.0553198768388642,"https://aesthetics.fandom.com/wiki/Princesscore",2,"https://static.wikia.nocookie.net/aesthetics/images/4/4d/Tumblr_8681320074d90947b55b04ca2222d020_459fae47_640.jpg"
"Steampunk",0.0534873707333805,"https://aesthetics.fandom.com/wiki/Steampunk",3,"https://static.wikia.nocookie.net/aesthetics/images/9/94/Steampunk-coffee-machine.jpg"
"Jersey Shore",0.0354246575342466,"https://aesthetics.fandom.com/wiki/Jersey_Shore",4,"https://static.wikia.nocookie.net/aesthetics/images/b/b5/Thejerseyshore.jpg"
"Clowncore",0.0309958822104571,"https://aesthetics.fandom.com/wiki/Clowncore",5,"https://static.wikia.nocookie.net/aesthetics/images/2/2b/Unnamed_%285%29.jpg"
"Alien",0.0215761177136389,"https://aesthetics.fandom.com/wiki/Alien",6,"https://static.wikia.nocookie.net/aesthetics/images/4/48/Image_%284%29.png"
"Nymphet",0.0170795795795796,"https://aesthetics.fandom.com/wiki/Nymphet",7,"https://static.wikia.nocookie.net/aesthetics/images/b/b1/4d6189320e5ed1406ef76e68d28d3a880ecca059.jpg"
"Vampire",0.01638590721572,"https://aesthetics.fandom.com/wiki/Vampire",8,"https://static.wikia.nocookie.net/aesthetics/images/0/0f/Vampire.jpeg"
"Cabincore",0.0154517395114888,"https://aesthetics.fandom.com/wiki/Cabincore",9,"https://static.wikia.nocookie.net/aesthetics/images/7/7a/Cabin.jpg"
"Cloudcore",0.0116419243219109,"https://aesthetics.fandom.com/wiki/Cloudcore",10,"https://www.dontcrampmystyle.co.uk/wp-content/uploads/2014/05/Light_Pastel_Purple_429585_i0-1.png"
"Gorecore",0.0115668923288501,"https://aesthetics.fandom.com/wiki/Gorecore",11,"https://static.wikia.nocookie.net/aesthetics/images/9/98/E1D6035A-3F06-4035-8117-D2398F3451C4.png"
"Gorpcore",0.0115520282186949,"https://aesthetics.fandom.com/wiki/Gorpcore",12,"https://www.dontcrampmystyle.co.uk/wp-content/uploads/2014/05/Light_Pastel_Purple_429585_i0-1.png"
"Wonderland",0.0113636363636364,"https://aesthetics.fandom.com/wiki/Wonderland",13,"https://static.wikia.nocookie.net/aesthetics/images/4/49/Alice_in_Wonderland.png"
"Medieval",0.0107070155288493,"https://aesthetics.fandom.com/wiki/Medieval",14,"https://static.wikia.nocookie.net/aesthetics/images/b/be/The_Lady_and_the_unicorn_Desire.jpg"
