"","aesthetic","max_date","col_group"
"1","Y2K",77165,"mid"
"2","Summer",26188,"mid"
"3","Cottagecore",23402,"mid"
"4","E-Girl",18565,"neg"
"5","Hippie",18096,"mid"
"6","Cottagegore",18010,"mid"
"7","Skater",15099,"neg"
"8","Fairycore",12662,"pos"
"9","Minimalism",10877,"pos"
"10","Spring",9180,"neg"
"11","Alternative",8846,"mid"
"12","Raver",8498,"mid"
"13","Bohemian",7609,"mid"
"14","Kidcore",6972,"mid"
"15","E-Boy",5016,"neg"
"16","Baddie",4741,"neg"
"17","Lounge",4708,"pos"
"18","Pearly",4185,"mid"
"19","Babygirl",4151,"neg"
"20","Hipster",4150,"neg"
"21","Halloween",3790,"neg"
"22","Decora",3486,"mid"
"23","Western",3479,"mid"
"24","Christmas",2969,"neg"
"25","Stoner",2442,"neg"
"26","Playboy",2434,"mid"
"27","Mallgoth",2237,"mid"
"28","Biker",2038,"pos"
"29","Dreamy",1942,"mid"
"30","Vampire",1928,"pos"
"31","Goblincore",1648,"pos"
"32","Avant-garde",1641,"pos"
"33","Regency",1641,"pos"
"34","Psychedelica",1592,"mid"
"35","Peach",1498,"neg"
"36","Scoutcore",1453,"pos"
"37","Maximalism",1351,"pos"
"38","Angelcore",1334,"pos"
"39","Mermaid",1290,"pos"
"40","Anglocore",1221,"pos"
"41","Comfy/Cozy",1149,"neg"
"42","Country",942,"mid"
"43","Back-to-School",931,"mid"
"44","Teddies",928,"mid"
"45","Pin-up",884,"pos"
"46","Pride flags",875,"mid"
"47","Gorpcore",870,"pos"
"48","Gorecore",869,"pos"
"49","Lovecore",865,"pos"
"50","Hip-Hop",862,"neg"
"51","Princesscore",834,"pos"
"52","Tropical",802,"mid"
"53","Princecore",793,"pos"
"54","Earthcore",774,"pos"
"55","VSCO",736,"neg"
"56","Softie",727,"mid"
"57","Medieval",720,"pos"
"58","Kinderwhore",711,"pos"
"59","Winter",698,"pos"
"60","Cyberpunk",688,"pos"
"61","Post-Punk",677,"pos"
"62","Thrasher",631,"mid"
"63","McBling",617,"mid"
"64","Steampunk",597,"pos"
"65","Royalcore",577,"pos"
"66","Vaporwave",573,"mid"
"67","Alien",547,"pos"
"68","Diner",547,"mid"
"69","Cybergoth",527,"pos"
"70","Steelpunk",525,"pos"
"71","Milk",497,"mid"
"72","Tomboy",496,"neg"
"73","Weirdcore",480,"mid"
"74","Gyaru",471,"mid"
"75","Androgynous",441,"pos"
"76","Drain",430,"mid"
"77","Sanriocore",402,"mid"
"78","Dullcore",383,"pos"
"79","Clowncore",337,"mid"
"80","Boujee",331,"neg"
"81","2-Tone",316,"mid"
"82","Cybergrunge",311,"mid"
"83","Celtic",307,"pos"
"84","Furry",304,"pos"
"85","Baroque",299,"pos"
"86","Gothcore",290,"pos"
"87","Rockabilly",288,"neg"
"88","Cleancore",287,"neg"
"89","Cloudcore",284,"neg"
"90","Athlete",282,"pos"
"91","Otaku",272,"neg"
"92","Scrapbook",272,"mid"
"93","After Hours",267,"mid"
"94","Barbiecore",257,"mid"
"95","Coastal Grandmother",249,"mid"
"96","Techwear",249,"neg"
"97","Naturecore",241,"mid"
"98","Magical Girls",217,"pos"
"99","Cutecore",210,"pos"
"100","Lo-Fi",209,"mid"
"101","Classicism",204,"mid"
"102","Plant Mom",185,"mid"
"103","Nymphet",185,"pos"
"104","Bimbocore",181,"neg"
"105","Waldorf",180,"pos"
"106","Gamine",173,"mid"
"107","Jersey Shore",171,"pos"
"108","Post-rock",170,"mid"
"109","Babycore",165,"neg"
"110","Normcore",165,"mid"
"111","Cabincore",164,"mid"
"112","Witchcore",155,"neg"
"113","Wonderland",153,"pos"
"114","Pirate",150,"neg"
"115","Neko",146,"mid"
"116","XO",131,"neg"
"117","Delicate Sweet",122,"neg"
"118","Lagenlook",119,"neg"
"119","Biopunk",115,"mid"
"120","Honeycore",115,"pos"
"121","Nostalgiacore",109,"pos"
"122","Post-Apocalyptic",106,"mid"
"123","Bombacore",103,"neg"
"124","Equestrian",99,"pos"
"125","Nu-Goth",98,"pos"
"126","Crackhead",96,"mid"
"127","Mushroomcore",94,"pos"
"128","Rococo",93,"pos"
"129","Surrealism",93,"neg"
"130","Deathcore",92,"pos"
"131","Pixel Cutie",86,"neg"
"132","VSCO Preppy",86,"pos"
"133","Prairiecore",85,"mid"
"134","Preppy",85,"pos"
"135","Pretty Preppy",85,"pos"
"136","Modernism",82,"mid"
"137","Funky Seasons",79,"pos"
"138","Geek",78,"mid"
"139","Femme Fatale",76,"pos"
"140","Acubi",73,"pos"
"141","BDSM",71,"neg"
"142","Dreamcore",70,"neg"
"143","Cyberghetto",67,"mid"
"144","Britpop",65,"mid"
"145","Girl-Next-Door",65,"pos"
"146","Purism",62,"neg"
"147","Glitchcore",60,"pos"
"148","Bloomcore",58,"neg"
"149","R&B",58,"pos"
"150","Otherkin",57,"pos"
"151","Printcore",57,"mid"
"152","Candycore",52,"neg"
"153","Retro-Futurism",52,"pos"
"154","Thriftcore",52,"pos"
"155","Trenchcore",52,"pos"
"156","Flapper",50,"pos"
"157","Rainbowcore",49,"neg"
"158","Pixiecore",48,"pos"
"159","Gloomcore",46,"pos"
"160","Seapunk",46,"pos"
"161","Viking",46,"pos"
"162","Wetcore",46,"mid"
"163","Forestpunk",45,"neg"
"164","Metalheart",43,"pos"
"165","Greaser",43,"neg"
"166","Nautical",41,"mid"
"167","Adventurecore",40,"pos"
"168","Shoegaze",40,"neg"
"169","Spacecore",40,"neg"
"170","C-Pop",38,"mid"
"171","Deathrock",38,"neg"
"172","Casino",38,"neg"
"173","Hyperpop",37,"mid"
"174","Long Island",37,"neg"
"175","Sharpies",36,"pos"
"176","Tacticool",36,"mid"
"177","Vulture Culture",36,"neg"
"178","Ravencore",34,"pos"
"179","Romanticism",32,"pos"
"180","Tiki",32,"pos"
"181","Waif",32,"pos"
"182","Anti-Fashion",31,"neg"
"183","Fawncore",31,"pos"
"184","Ragecore",31,"pos"
"185","Werewolf",31,"neg"
"186","Wanderlust",29,"neg"
"187","Warmcore",28,"neg"
"188","Wormcore",28,"neg"
"189","Farmer's Daughter",27,"pos"
"190","Kuromicore",26,"mid"
"191","Metalcore",25,"neg"
"192","Ukiyo-e",25,"pos"
"193","Film Noir",25,"mid"
"194","Beatnik",24,"pos"
"195","Coquette",23,"pos"
"196","Devilcore",23,"pos"
"197","Pinterest Coquette",23,"pos"
"198","Ancient Egypt",22,"mid"
"199","Cagole",20,"pos"
"200","Foodie",20,"pos"
"201","Crustpunk",18,"mid"
"202","Expressionism",18,"neg"
"203","Frogcore",18,"mid"
"204","Queercore",18,"pos"
"205","Queencore",18,"pos"
"206","Crowcore",17,"neg"
"207","Femboy",16,"neg"
"208","Craftcore",15,"neg"
"209","French Girly",15,"pos"
"210","Kingcore",15,"mid"
"211","Synthwave",15,"pos"
"212","Kogal",14,"pos"
"213","Urbancore",14,"pos"
"214","Happycore",13,"neg"
"215","Campcore",12,"mid"
"216","Ghostcore",12,"pos"
"217","Grandmillenial",12,"pos"
"218","Trashcore",12,"pos"
"219","Yandere",12,"neg"
"220","Grandparentcore",12,"mid"
"221","Grifes",11,"pos"
"222","Nerdcore",11,"neg"
"223","Solarpunk",11,"pos"
"224","Studyblr",11,"mid"
"225","Ms Paint",10,"neg"
"226","Americana",10,"mid"
"227","Gurokawa",10,"mid"
"228","Historical Americana",10,"mid"
"229","Darkcore",9,"mid"
"230","Groundcore",9,"neg"
"231","Scene",8,"pos"
"232","Technical Scene",8,"pos"
"233","Villagecore",8,"mid"
"234","Wabi-Sabi",8,"neg"
"235","English Major",8,"pos"
"236","Morute",8,"pos"
"237","Biohazard",7,"mid"
"238","Cryptidcore",7,"mid"
"239","Sparklecore",7,"neg"
"240","Tweencore",7,"mid"
"241","Vacation Dadcore",7,"mid"
"242","Villaincore",7,"mid"
"243","Concore",7,"pos"
"244","Bauhaus",7,"neg"
"245","Heistcore",6,"neg"
"246","Mosscore",6,"neg"
"247","Roaring 20s",6,"neg"
"248","Shanzhai",6,"neg"
"249","Rivethead",6,"mid"
"250","Skinheads",6,"mid"
"251","Camp",5,"mid"
"252","Cholo",5,"mid"
"253","Dragoncore",5,"neg"
"254","Voidcore",5,"pos"
"255","Feralcore",5,"mid"
"256","Holosexual",5,"neg"
"257","Sloanies",5,"neg"
"258","Auroracore",4,"mid"
"259","Bubblegum Bitch",4,"pos"
"260","Heatwave",4,"neg"
"261","Lightcore",4,"pos"
"262","Pink Parisian",4,"mid"
"263","Twee",4,"pos"
"264","Acidwave",3,"mid"
"265","Bodikon",3,"mid"
"266","Breakcore",3,"mid"
"267","Cargopunk",3,"neg"
"268","Constructivism",3,"mid"
"269","Cyberpop",3,"pos"
